epoc, error
0, 2.38379657721936
50, 0.5103425208997425
100, 0.37278142040476164
150, 0.3212593142883658
200, 0.28727890316164545
250, 0.2597910450625146
300, 0.23641604211905384
350, 0.21470211109373014
400, 0.19267552297061827
450, 0.1706102403362156
500, 0.14859031531878375
550, 0.132079054499106
600, 0.12007851053714691
650, 0.10962985936627137
700, 0.10080627414861007
750, 0.09417477445798789
800, 0.08875381931166737
850, 0.08418792775019995
900, 0.08028112084768706
950, 0.0769071170387146
1000, 0.07398248480738771
1050, 0.07141627185553313
1100, 0.06912702494104926
1150, 0.06705773605002496
1200, 0.06516945722920503
1250, 0.06343799081789106
1300, 0.06182733427440168
1350, 0.06030371569143533
1400, 0.058889931110101545
1450, 0.05752345179263423
1500, 0.05622662568793013
1550, 0.054981007436133045
1600, 0.05378134727421634
1650, 0.05262473037819962
1700, 0.05149908856957843
1750, 0.05040560900574135
1800, 0.04933237375849898
