x, y, output
0.0, 0.0, 0.002976923682865056
0.04, 0.0, 0.003263636891214899
0.08, 0.0, 0.003592843396569614
0.12, 0.0, 0.003972257900074233
0.16, 0.0, 0.004411211828006462
0.2, 0.0, 0.004921028051945425
0.24, 0.0, 0.005515488004971731
0.28, 0.0, 0.00621141434081646
0.32, 0.0, 0.007029397729178131
0.36, 0.0, 0.007994702779808672
0.4, 0.0, 0.009138395367701233
0.44, 0.0, 0.010498741506176863
0.48, 0.0, 0.012122935726818843
0.52, 0.0, 0.014069223401745332
0.56, 0.0, 0.01640948433074379
0.6, 0.0, 0.019232340460409822
0.64, 0.0, 0.02264683285905821
0.68, 0.0, 0.026786673057858427
0.72, 0.0, 0.03181499871202861
0.76, 0.0, 0.03792943597639141
0.8, 0.0, 0.04536707004091401
0.84, 0.0, 0.0544086294994542
0.88, 0.0, 0.0653807859810282
0.92, 0.0, 0.07865496815056644
0.96, 0.0, 0.09464055010224973
0.0, 0.04, 0.003237691825191642
0.04, 0.04, 0.0035638531575270457
0.08, 0.04, 0.0039398610241797175
0.12, 0.04, 0.004375005489494918
0.16, 0.04, 0.004880565221996981
0.2, 0.04, 0.005470275452874754
0.24, 0.04, 0.0061609121048263795
0.28, 0.04, 0.0069730209673534846
0.32, 0.04, 0.007931827300543233
0.36, 0.04, 0.009068368668622366
0.4, 0.04, 0.010420901857218723
0.44, 0.04, 0.012036642760338305
0.48, 0.04, 0.013973904857642171
0.52, 0.04, 0.016304705068402932
0.56, 0.04, 0.019117901569723053
0.6, 0.04, 0.02252291057079756
0.64, 0.04, 0.026654008902816835
0.68, 0.04, 0.0316751534792876
0.72, 0.04, 0.03778511953887937
0.76, 0.04, 0.04522255554586394
0.8, 0.04, 0.05427025155687096
0.84, 0.04, 0.06525750545727683
0.88, 0.04, 0.07855895791796651
0.92, 0.04, 0.09458771461011845
0.96, 0.04, 0.11378013533468626
0.0, 0.08, 0.0035362337545670995
0.04, 0.08, 0.00390896102193059
0.08, 0.08, 0.004340432578342638
0.12, 0.08, 0.004841883166292712
